epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
85,630.492,1.17343,0.74455,0.0057,0.9131,0.84944,0.89048,0.58432,1.48608,0.96256,0.00909,0.000236083,0.000236083,0.000236083
86,638.176,1.12869,0.6932,0.0057,0.9139,0.84084,0.88877,0.58356,1.48841,0.96096,0.00921,0.000229739,0.000229739,0.000229739
87,644.583,1.14705,0.73188,0.00607,0.92823,0.83766,0.8938,0.57862,1.47088,1.02692,0.00919,0.000223395,0.000223395,0.000223395
88,652.21,1.14513,0.72355,0.00576,0.94511,0.81756,0.88899,0.5738,1.46927,1.00199,0.00916,0.00021705,0.00021705,0.00021705
89,658.546,1.15795,0.75402,0.0058,0.91563,0.83652,0.88945,0.5775,1.49151,1.01324,0.00929,0.000210706,0.000210706,0.000210706
90,666.373,1.11931,0.68763,0.00544,0.95199,0.81883,0.88925,0.57656,1.50134,1.03375,0.00921,0.000204362,0.000204362,0.000204362
91,672.744,1.19609,0.78167,0.00583,0.94285,0.83625,0.88503,0.57322,1.51703,1.00897,0.00937,0.000198018,0.000198018,0.000198018
92,680.413,1.13051,0.68754,0.00561,0.90523,0.82443,0.87729,0.57432,1.46378,1.10032,0.00894,0.000191673,0.000191673,0.000191673
93,686.757,1.18159,0.78815,0.00671,0.90697,0.84451,0.88059,0.57722,1.47504,1.08326,0.00894,0.000185329,0.000185329,0.000185329
94,694.293,1.11947,0.70312,0.0059,0.90171,0.8363,0.8837,0.58176,1.46292,1.04318,0.00886,0.000178985,0.000178985,0.000178985
95,701.034,1.1331,0.71832,0.00548,0.90695,0.84254,0.87853,0.56838,1.46816,1.06801,0.00884,0.000172641,0.000172641,0.000172641
96,708.29,1.13388,0.71227,0.00553,0.90493,0.83586,0.88347,0.58519,1.43369,1.04233,0.00871,0.000166296,0.000166296,0.000166296
97,715.53,1.10448,0.69213,0.00528,0.91237,0.82603,0.8873,0.58566,1.46962,0.99546,0.00885,0.000159952,0.000159952,0.000159952
98,722.538,1.14999,0.72774,0.00555,0.89924,0.84203,0.88683,0.58131,1.42557,1.02247,0.00867,0.000153608,0.000153608,0.000153608
99,730.133,1.13646,0.72975,0.0057,0.91125,0.84497,0.88916,0.5761,1.45132,1.04893,0.00885,0.000147264,0.000147264,0.000147264
100,736.533,1.08667,0.70126,0.00512,0.91156,0.83627,0.8866,0.58133,1.44854,1.06815,0.00887,0.000140919,0.000140919,0.000140919
101,743.983,1.10846,0.78703,0.00628,0.91582,0.83304,0.88901,0.58145,1.45531,1.02694,0.00906,0.000134575,0.000134575,0.000134575
102,750.49,1.11228,0.72837,0.00556,0.9316,0.82707,0.8878,0.58211,1.45237,1.02029,0.00905,0.000128231,0.000128231,0.000128231
103,758.208,1.0998,0.66296,0.00526,0.93553,0.82564,0.88986,0.58195,1.4795,1.02063,0.00921,0.000121887,0.000121887,0.000121887
104,764.78,1.09162,0.71018,0.00532,0.90475,0.83595,0.89096,0.58396,1.49395,0.98846,0.00927,0.000115542,0.000115542,0.000115542
105,772.266,1.12429,0.71996,0.00554,0.91872,0.82899,0.88725,0.58004,1.47808,1.03153,0.00924,0.000109198,0.000109198,0.000109198
106,778.551,1.07008,0.67578,0.00525,0.92027,0.82756,0.88694,0.57907,1.50768,0.99822,0.00926,0.000102854,0.000102854,0.000102854
107,786.156,1.08565,0.6846,0.00543,0.91628,0.82975,0.88716,0.5806,1.4907,1.0115,0.00906,9.65095e-05,9.65095e-05,9.65095e-05
108,792.512,1.07879,0.67835,0.00533,0.93255,0.82526,0.89363,0.58225,1.49699,1.00077,0.00911,9.01652e-05,9.01652e-05,9.01652e-05
109,800.025,1.10305,0.74388,0.00542,0.91215,0.84332,0.89247,0.58159,1.50976,1.00255,0.00917,8.3821e-05,8.3821e-05,8.3821e-05
110,806.611,1.07673,0.67226,0.00514,0.92602,0.83391,0.89025,0.58275,1.45442,1.04627,0.00892,7.74768e-05,7.74768e-05,7.74768e-05
111,816.493,0.99382,0.51789,0.00592,0.91849,0.84345,0.88752,0.58514,1.45615,1.027,0.00905,7.11325e-05,7.11325e-05,7.11325e-05
112,824.329,0.97864,0.5162,0.00554,0.91846,0.82473,0.88685,0.58291,1.49938,1.00855,0.00924,6.47882e-05,6.47882e-05,6.47882e-05
113,830.533,0.95694,0.5085,0.00548,0.91348,0.82851,0.88854,0.58167,1.489,1.01035,0.00909,5.8444e-05,5.8444e-05,5.8444e-05
114,838.207,0.9653,0.51529,0.00561,0.91193,0.82184,0.88738,0.58765,1.48256,1.01313,0.00903,5.20998e-05,5.20998e-05,5.20998e-05
115,844.598,0.95382,0.51098,0.00558,0.91238,0.82598,0.88732,0.58592,1.47709,1.0074,0.00891,4.57555e-05,4.57555e-05,4.57555e-05
116,852.275,0.95346,0.49187,0.00541,0.91078,0.83741,0.8887,0.58081,1.47942,1.02171,0.00888,3.94112e-05,3.94112e-05,3.94112e-05
117,858.982,0.95137,0.52169,0.00552,0.92168,0.82628,0.8886,0.58092,1.47408,1.01466,0.00888,3.3067e-05,3.3067e-05,3.3067e-05
118,866.462,0.97538,0.53007,0.0056,0.92563,0.82143,0.8899,0.58312,1.46897,1.00994,0.00882,2.67228e-05,2.67228e-05,2.67228e-05
119,872.61,0.94034,0.50548,0.00539,0.89407,0.83974,0.88742,0.58764,1.47049,1.00949,0.00888,2.03785e-05,2.03785e-05,2.03785e-05
120,880.137,0.94489,0.49656,0.00534,0.91392,0.82922,0.89032,0.58644,1.47848,1.01112,0.0089,1.40342e-05,1.40342e-05,1.40342e-05
