epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
53,1254.17,1.27419,0.75194,0.00654,0.91273,0.83807,0.89291,0.56639,1.54934,1.0078,0.00973,0.000439099,0.000439099,0.000439099
54,1287.33,1.28496,0.77048,0.00665,0.92199,0.83743,0.89342,0.58169,1.543,0.97578,0.00952,0.000432755,0.000432755,0.000432755
55,1306.35,1.27216,0.78867,0.00627,0.92388,0.8324,0.89307,0.58179,1.47587,0.98327,0.00922,0.000426411,0.000426411,0.000426411
56,1324.89,1.25714,0.75957,0.00643,0.90827,0.82665,0.90139,0.57555,1.5246,0.93543,0.00953,0.000420066,0.000420066,0.000420066
57,1338.1,1.28804,0.78947,0.00658,0.92823,0.84645,0.89336,0.56392,1.50203,0.92374,0.00957,0.000413722,0.000413722,0.000413722
58,1355.79,1.25703,0.72798,0.0062,0.91818,0.83718,0.89238,0.58014,1.53506,0.94799,0.00984,0.000407378,0.000407378,0.000407378
59,1374.11,1.23445,0.7417,0.00627,0.92392,0.83308,0.89562,0.58073,1.54127,0.93063,0.00941,0.000401033,0.000401033,0.000401033
60,1387.06,1.2173,0.7084,0.0059,0.93785,0.84251,0.90968,0.59865,1.44496,0.92873,0.00905,0.000394689,0.000394689,0.000394689
61,1405.62,1.20825,0.73573,0.00603,0.88794,0.86321,0.902,0.59564,1.48336,0.96577,0.00929,0.000388345,0.000388345,0.000388345
62,1418.4,1.19939,0.74331,0.00634,0.92945,0.83485,0.89538,0.58909,1.4827,1.01164,0.00933,0.000382001,0.000382001,0.000382001
63,1437.66,1.21693,0.76393,0.00603,0.90462,0.84785,0.89052,0.56341,1.56838,0.99135,0.01002,0.000375656,0.000375656,0.000375656
64,1456.41,1.22096,0.75485,0.00607,0.9418,0.83285,0.90154,0.57726,1.51236,1.02103,0.0095,0.000369312,0.000369312,0.000369312
65,1474.93,1.159,0.67522,0.00578,0.88693,0.85785,0.89507,0.58087,1.49483,0.98502,0.00958,0.000362968,0.000362968,0.000362968
66,1493.13,1.1871,0.72862,0.00589,0.93089,0.83754,0.89356,0.59201,1.51387,0.9103,0.0098,0.000356624,0.000356624,0.000356624
67,1512.03,1.19028,0.69881,0.00605,0.92247,0.84729,0.90824,0.59507,1.49625,0.86505,0.00954,0.00035028,0.00035028,0.00035028
68,1532.42,1.171,0.68551,0.00603,0.90153,0.8548,0.89689,0.58295,1.53119,0.90601,0.00946,0.000343935,0.000343935,0.000343935
69,1546.22,1.18675,0.73617,0.00631,0.92456,0.8411,0.89971,0.58943,1.53423,0.93678,0.0094,0.000337591,0.000337591,0.000337591
70,1565.76,1.1993,0.6683,0.00594,0.89584,0.86906,0.90127,0.57773,1.47747,0.923,0.00918,0.000331247,0.000331247,0.000331247
71,1579.79,1.18991,0.68716,0.00595,0.91248,0.86049,0.90497,0.5693,1.49007,0.97052,0.00915,0.000324903,0.000324903,0.000324903
72,1600.92,1.19187,0.72114,0.00617,0.90496,0.8857,0.91445,0.604,1.47484,0.88446,0.00918,0.000318558,0.000318558,0.000318558
73,1657.37,1.16365,0.71966,0.00593,0.91142,0.87729,0.90856,0.60132,1.49001,0.91384,0.00933,0.000312214,0.000312214,0.000312214
74,1677.21,1.11744,0.6441,0.0056,0.89352,0.87726,0.90637,0.58773,1.52244,1.02795,0.00937,0.00030587,0.00030587,0.00030587
75,1697.29,1.09193,0.60978,0.00546,0.89439,0.8631,0.90377,0.59603,1.45327,0.9822,0.00884,0.000299525,0.000299525,0.000299525
76,1717.44,1.12113,0.65973,0.00565,0.91882,0.84154,0.90433,0.59181,1.44134,0.97952,0.00876,0.000293181,0.000293181,0.000293181
77,1738.22,1.09378,0.64358,0.00569,0.93956,0.85057,0.90956,0.59139,1.46167,0.92884,0.00883,0.000286837,0.000286837,0.000286837
78,1758.78,1.07168,0.61476,0.00533,0.95064,0.85735,0.91186,0.5966,1.41018,0.99672,0.00844,0.000280493,0.000280493,0.000280493
79,1773.25,1.07979,0.59958,0.00527,0.93578,0.87406,0.90805,0.60803,1.43937,0.94375,0.00887,0.000274148,0.000274148,0.000274148
80,1788.66,1.10945,0.61549,0.00572,0.94801,0.86252,0.89917,0.59224,1.48671,1.01528,0.0092,0.000267804,0.000267804,0.000267804
81,1807.76,1.08707,0.64057,0.00536,0.96876,0.84727,0.90527,0.59815,1.49236,1.00851,0.0093,0.00026146,0.00026146,0.00026146
82,1826.54,1.10755,0.66363,0.00569,0.95446,0.84828,0.9052,0.58888,1.49084,0.95073,0.00916,0.000255116,0.000255116,0.000255116
83,1865.25,1.07091,0.59302,0.00541,0.94266,0.84868,0.90519,0.59464,1.47777,0.93768,0.00926,0.000248772,0.000248772,0.000248772
84,1886.74,1.12367,0.65157,0.00531,0.9345,0.8567,0.9018,0.57854,1.48829,0.90402,0.00914,0.000242427,0.000242427,0.000242427
85,1906.48,1.07519,0.61556,0.00529,0.94575,0.86137,0.91608,0.59713,1.4404,0.88139,0.00896,0.000236083,0.000236083,0.000236083
86,1926.63,1.0389,0.57184,0.00526,0.94463,0.84807,0.91535,0.60979,1.42165,0.88923,0.00867,0.000229739,0.000229739,0.000229739
87,1953.63,1.03068,0.59025,0.00538,0.95124,0.8763,0.92038,0.60745,1.42465,0.84424,0.00861,0.000223395,0.000223395,0.000223395
88,1969.34,1.04864,0.60091,0.00531,0.95453,0.85438,0.92056,0.60744,1.4043,0.86419,0.00852,0.00021705,0.00021705,0.00021705
89,1998.92,1.05846,0.62473,0.00528,0.93066,0.86129,0.90705,0.59977,1.45156,0.93412,0.00887,0.000210706,0.000210706,0.000210706
90,2013.88,1.01628,0.56129,0.00497,0.92818,0.86948,0.90369,0.60534,1.43967,0.91368,0.00885,0.000204362,0.000204362,0.000204362
